,comments
0,Книга пришла в целости и сохранности
1,"Отличная книга, хороший шрифт, для ребенка очень удобный. Правда упаковка была нарушена и немного помята книга, но незначительно. Рекомендую."
2,"Книга пришла в хорошем состоянии, но без упаковки, т.е. как на фото. Хорошо, что не помялась при доставке, но могла ведь... минус звезду за это, а так отличный товар, как раз на подарок"
3,Волшебство! Всё целое! Спасибо большое!)
4,Упаковано аккуратно.
5,"Книги пришли быстро,без повреждений,но упаковка оставляет желать лучшего. Тонкая плёнка,разорваная со всех сторон-это не упаковка для подарочной книги.копеечные чупа-чупсы упаковываю лучше,а вы всё экономите"
6,"Красивая книга, приятно брать в руки. Подарком ко Дню рождения очень довольна!!"
7,"Качество книги хорошее, но бумага и правда тонковата, к тому же немного смят один угол. Ещё не ожидала встретить тот перевод, где Бильбо и Фордо Торбинсы, а дом их – Торба-на-круче))"
8,"Супер книга, я очень сильно доволен!!!! Отличное качество и оформление, пришла хорошо запечатана!!! Спасибо"
9,"Книга пришла в отличном состоянии, ооочень красивая"
10,Благодарю! Книга в идеальном состоянии!
11,"Отличная книга! Белые листы, хороший шрифт, в конце книги карты! Есть ч/б иллюстрации."
12,"Положили совершенно не ту книгу, пока перезаказала, уже дороже на 10 бел. руб. Очень неприятно"
13,"Товар приехал в отличном состоянии,  книга красивая и интересная"
14,"Всё нормально пришла в целом состоянии без печатных дефектов страницы не склеены единственное на обороте царапина не кретично...но перевод конечно да(, не привычно что Бильбо Бэгенс в книге Бильбо Торбинс...Хоббитон переименован и другие слова и названия привычных по фильму в книге другие, не много но всё же. А в общем хорошая книга для домашней библиотеки и для подарка!"
15,"Пришла практически без упаковки, в одной тонкой плёнке, которая естественно порвалась при доставке.
Уголки были сильно помяты, срез грязный
Одно дело себе, другое на подарок.. естественно возрат"
16,Книга просто замечательная. Доставка быстрая упоковано хорошо.цена приемлемая.
17,"Оформлена в подарочном варианте, понравилась"
18,"Упакован хорошо, повреждений нет."
19,Книга супер
20,"Книга пришла в хорошем состоянии, спасибо."
21,"Все класс.Четыре звезды за упаковку, тоненький целофан, хорошо хоть не помята и углы в норме."
22,Книга ребёнку понравилась. Пришла  целая.
23,"Красивая книга с иллюстрациями, бумага белая, не тяжелая. Рекомендую!"
24,"Хорошее издание, с черно-белыми иллюстрациями и картами, на белой бумаге. Трилогия в переводе Муравьева/Кистяковского."
25,"Хорошая книга,красивая,бумага белая,шрифт не маленький.Цена дешевле чем в магазинах."
26,"Хорошая книга. И не такая тяжелая, как кажется по виду. Хорошая бумага."
27,Отличная книга! Пришла целая!
28,"Прекрасное издание! Пришло быстро, качественно упаковано. Спасибо! Очень довольна покупкой."
29,"Шикарная книга , читается легко , рекомендую"
30,"Очень понравилась, книга большая, брала в качестве подарка, пришла целая"
31,Она прекрасна... Хорошее качество.
32,Норм книга
33,"Упаковка немного была порвана, на качество книги не повлияло. Страницы все целые, печать хорошая. Единственный дефект - это непроклей форзаца. Менять не буду, сам доклею, там не критично"
34,"Слабая упаковка, пищевая пленка…"
35,"Брал в подарок, книга целая, всё хорошо!"
36,Книга очень крутая по содержанию и качеству
37,"Книга отличная! 
Дочь в восторге!"
38,Книга очень высокого качества. Хороший перевод
39,"Цена книги значительно была меньше, чем в ""Читай городе"",на что и "" купилась"". Но к упаковке товара претензии. Пришла в пакете, возможно от этого повреждения. Хотя 1й изъян видела и у других покупателей.. Думала "" минует"" меня)))) К господину Толкину претензий нет)) Книга супер!"
40,👍👍👍👍👍👍👍
41,"Книга приехала в тонкой рваной плёнке, поэтому бортики книги помялись. Удивлена тем, что книга не приехала вся порванная. Пожалуйста в следующей раз заворачиваете в пупырчатую плёнку, а сверхя обычной, так книга приедет в хорошем состоянии"
42,"Книга пришла в отличном состоянии, никаких повреждений и брака. 
Очень понравился шрифт и оформление. 
Цена доступная для такого количества, потому что вся серия здесь. 
Если думаете брать - берите."
43,"Доставили все в хорошем виде,сыну понравилось"
44,Книга пришла целая и БОЛЬШАЯ
45,Такая книга и правда -лучший подарок! Рекомендую!
46,"книга просто шикарнейшай, много картин, шрифт стилизованный, буквы достаточно крупные, читаемые."
47,"Хотя упакована была в плёнку, но пришла целая, без повреждений."
48,"По содержанию книги претензий нет, отличная эпопея! Но по состоянию, недочёт. Можно смириться с погнутым помятым корешком, книга громоздкая тяжёлая. Но такой брак... Вроде и не критично, чтобы отказ делать, но настроение испортил."
49,"Книга хороша, только что лежа не почитать)"
50,Замечательная книга
51,"Книга понравилась, но пришлось отказаться, так как подарили уже такую же"
52,"Обалденная книга, каждый лист в своём дизайне, красиво оформлено, даже рисунки есть в черно-белом, шрифт удобный. Нигде не помята"
53,"Хорошая книга ,без повреждений"
54,Книга пришла во время. В отличном состоянии. Осталось насладиться чтением. А попозже Ведьмака закажу
55,Дети на седьмом небе от счастья:)
56,"Доставка довольно быстрая, были маленькие повреждения, а так книга в целостности, доволен"
57,Большая и красивая
58,Брала на подарок. Книга пришла целая. Но упаковка оставляет желать лучшего 🫣
59,Книга отличная
60,"Продавец, скажите,вам жалко упаковки? Почему в таком виде приходят книги? Дочка поехала забирать, дефект увидела только дома. Сама не стала бы забирать. Жалко товар. Не советую продавца за халатность к работе."
61,Страницы очень тонкие. Упаковка была надорвана. Красивые иллюстрации.
62,"Все отлично, быстрая доставка, книга в хорошем состоянии"
63,"Брала на подарок, книга пришла в пленке, причем пленка целая, а корешок надорван. Вопросы к продавцу"
64,Все как описано. Заказом доволен. Рекомендую.
65,Повреждения. Отврат упаковка
66,Покупала на подарок крестнику. Он очень доволен
67,Разорван корешок.
68,"Книга красивая. Пришла целая, без повреждений. Упакована в обычную пленку. По содержанию сказать не могу, еще не читали."
69,"Упакована не очень, но пришла целая не повреждена. Спасибо большое!!!"
70,Супер книга
71,Хороша книга
72,Пришла в хорошем качестве
73,Книга пришла целая
74,"Супер! Брала в подарок.Книга большая,запечатана хорошо."
